word,sentiment
ahli,positive
absah,positive
absolut,positive
acuan,positive
afdol,positive
akademisi,positive
akan bayar,positive
akbar,positive
akrab,positive
aktif,positive
aktualisasi,positive
akur,positive
akurat,positive
alami,positive
alamiah,positive
alhamdulillah,positive
alim,positive
amal,positive
aman,positive
amboi,positive
ampuh,positive
andal,positive
andalan,positive
anggukan,positive
anggun,positive
animo,positive
anjuran,positive
anteng,positive
antusias,positive
antusiasme,positive
anugrah,positive
apresiasi,positive
arahan,positive
ayo,positive
bagus,positive
bahagia,positive
baik,positive
bakat,positive
bakti,positive
bangga,positive
bangkit,positive
bantu,positive
bantuan,positive
banyak,positive
beasiswa,positive
becus,positive
bekal,positive
beken,positive
belajar,positive
bela,positive
benah,positive
benar,positive
bening,positive
berani,positive
betul,positive
bhinneka,positive
bijak,positive
bijaksana,positive
bisa,positive
bismillah,positive
bonus,positive
brilian,positive
budiman,positive
cakap,positive
cakep,positive
canggih,positive
cekatan,positive
cemerlang,positive
cendekia,positive
cendekiawan,positive
cepat,positive
cerdas,positive
cerdik,positive
ceria,positive
cermat,positive
cita,positive
cocok,positive
cukup,positive
damai,positive
demokrasi,positive
demokratis,positive
devisa,positive
dewasa,positive
doakan,positive
donasi,positive
donatur,positive
donor,positive
dorong,positive
dukungan,positive
dukung,positive
dzikir,positive
edukasi,positive
edukatif,positive
efektif,positive
efisien,positive
ekonomis,positive
ekspres,positive
elegan,positive
elite,positive
elok,positive
eloknya,positive
empati,positive
enak,positive
enak-enak,positive
enteng,positive
esensial,positive
estetik,positive
tetap,positive
estetis,positive
etis,positive
evaluasi,positive
faedah,positive
fakta,positive
faktual,positive
fantastis,positive
hati,positive
fasih,positive
favorit,positive
fenomenal,positive
fitrah,positive
gagah,positive
gampang,positive
ganteng,positive
gapai,positive
gemilang,positive
genius,positive
genjot,positive
giat,positive
gigih,positive
gratis,positive
gunanya,positive
hadiah,positive
hakiki,positive
halal,positive
handal,positive
harapan,positive
harmoni,positive
harmonis,positive
hebat,positive
heroik,positive
hibah,positive
hibur,positive
hidayah,positive
hidup,positive
hikmah,positive
hits,positive
hoki,positive
hore,positive
hormat,positive
humor,positive
ibadah,positive
ideal,positive
ikhtiar,positive
iktikad,positive
ilmiah,positive
iman,positive
indah,positive
informatif,positive
inisiatif,positive
inovasi,positive
inovatif,positive
inovator,positive
insaf,positive
insan,positive
insentif,positive
inspirasi,positive
integritas,positive
intelek,positive
intelektual,positive
intensif,positive
islami,positive
itikad,positive
itikaf,positive
izin,positive
jago,positive
jawaban,positive
jelas,positive
jelaskan,positive
jenius,positive
juara,positive
jujur,positive
kagum,positive
kaji,positive
kamil,positive
kampiun,positive
karunia,positive
kasih,positive
keren,positive
kerja,positive
kharisma,positive
kharismatik,positive
khidmat,positive
khusyuk,positive
klarifikasi,positive
kokoh,positive
kolaborasi,positive
komersial,positive
komitmen,positive
kompak,positive
kompeten,positive
komunikasi,positive
komunikatif,positive
kondusif,positive
konfirmasi,positive
konkret,positive
konsisten,positive
konsistensi,positive
kooperatif,positive
koordinasi,positive
kreasi,positive
kreatif,positive
